T,T amb,q in,q out,price
27.54,18.2,77.5,56.02,0.22
29.98,18.2,77.56,56.25,0.22
32.38,18.1,77.6,56.48,0.22
34.47,18.2,77.65,56.7,0.22
36.74,18.1,77.69,56.93,0.22
39.05,17.9,77.72,57.14,0.22
40.8,18,77.75,57.36,0.22
42.78,17.9,77.78,57.57,0.22
44.94,17.9,77.8,57.78,0.22
46.65,17.9,77.82,57.99,0.22
48.26,18,77.83,58.19,0.22
49.9,17.9,77.84,58.39,0.22
51.65,17.8,77.85,58.59,0.22
53.06,18,77.85,58.79,0.22
54.76,18,77.85,58.98,0.22
55.99,17.6,77.85,59.17,0.22
57.41,17.9,77.85,59.36,0.22
58.67,17.7,77.84,59.55,0.22
59.96,17.7,77.82,59.73,0.22
61.34,17.7,77.81,59.91,0.22
62.35,17.6,77.79,60.09,0.22
63.33,17.6,77.76,60.26,0.22
64.48,17.8,77.74,60.44,0.22
65.42,17.9,77.71,60.61,0.22
66.48,17.8,77.68,60.78,0.22
67.23,17.7,77.65,60.94,0.22
68,17.9,77.61,61.11,0.22
68.96,17.9,77.57,61.27,0.22
69.53,17.9,77.53,61.43,0.22
70.45,18,77.48,61.58,0.22
70.97,18,77.43,61.74,0.22
71.72,17.8,77.38,61.89,0.22
72.24,17.9,77.32,62.04,0.22
72.57,18,77.26,62.18,0.22
73.29,17.9,77.2,62.32,0.22
73.58,17.9,77.13,62.46,0.22
74.27,17.9,77.07,62.6,0.22
74.37,17.9,77.02,62.73,0.22
75.02,17.9,76.97,62.86,0.22
75.27,18,76.92,62.98,0.22
75.36,18.1,76.87,63.1,0.22
75.83,18,76.82,63.22,0.22
76.16,18,76.77,63.33,0.22
76.14,18.2,76.73,63.44,0.22
76.53,18.3,76.69,63.55,0.22
76.53,18.3,76.67,63.65,0.22
76.86,18.2,76.65,63.75,0.22
77.04,18,76.64,63.85,0.22
77.03,18,76.64,63.96,0.22
77.07,18.1,76.66,64.07,0.22
77.06,18.2,76.71,64.21,0.22
77.15,18,76.77,64.36,0.22
77.25,17.9,76.85,64.51,0.22
77.47,18.2,76.94,64.66,0.22
77.49,17.9,77.04,64.82,0.22
77.57,18,77.14,64.98,0.22
77.3,18,77.24,65.14,0.22
77.61,17.9,77.34,65.31,0.22
77.45,18.1,77.43,65.47,0.22
77.63,18.1,77.53,65.64,0.22
77.46,18.1,77.61,65.81,0.22
77.54,18.2,77.69,65.98,0.22
77.3,17.9,77.76,66.15,0.22
77.27,18.2,77.82,66.31,0.22
77.46,18.2,77.88,66.48,0.22
77.21,18.2,77.92,66.65,0.22
77.12,18,77.96,66.81,0.22
76.94,18.2,77.98,66.97,0.22
77.03,18,78,67.13,0.22
76.79,17.9,78.01,67.29,0.22
76.8,18.1,78,67.44,0.22
76.61,18,77.99,67.59,0.22
76.39,18,77.98,67.74,0.22
76.16,18,77.96,67.89,0.22
75.9,18,77.94,68.03,0.22
75.75,18.2,77.92,68.17,0.22
75.43,17.9,77.91,68.31,0.22
75.16,18,77.89,68.45,0.22
74.85,18,77.87,68.58,0.22
74.7,17.9,77.86,68.71,0.22
74.56,18.1,77.84,68.84,0.22
74.04,17.9,77.82,68.97,0.22
73.66,17.9,77.79,69.1,0.22
73.45,17.9,77.76,69.22,0.22
73.21,18.1,77.71,69.34,0.22
72.72,18,77.66,69.46,0.22
72.28,18,77.59,69.57,0.22
72.21,18.1,77.52,69.69,0.22
71.69,18.2,77.45,69.8,0.22
71.13,18,77.38,69.91,0.22
71.01,18.1,77.31,70.02,0.22
70.62,17.9,77.24,70.12,0.22
70.01,17.9,77.18,70.23,0.22
69.72,17.9,77.12,70.33,0.22
69.16,18,77.08,70.43,0.22
68.73,18.2,77.06,70.52,0.22
68.15,18,77.05,70.62,0.22
67.84,18.2,77.05,70.71,0.22
67.24,18.1,77.07,70.8,0.22
66.98,18.2,77.11,70.89,0.22
66.54,18.3,77.15,70.87,0.22
65.81,18.4,77.21,70.85,0.22
65.41,18.1,77.27,70.83,0.22
65.26,18.3,77.34,70.81,0.22
64.68,18.4,77.42,70.79,0.22
64.62,18.1,77.5,70.77,0.22
64.16,18.1,77.58,70.75,0.22
63.98,18.4,77.65,70.73,0.22
63.43,18.3,77.72,70.71,0.22
63.36,18.3,77.79,70.69,0.22
63.17,18.3,77.84,70.67,0.22
62.79,18.3,77.88,70.66,0.22
62.51,18,77.92,70.64,0.22
62.39,18.3,77.96,70.63,0.22
62.16,18.3,77.99,70.62,0.22
61.95,18.2,78.01,70.62,0.22
61.76,18.4,78.02,70.62,0.22
61.6,18.1,78.02,70.62,0.22
61.39,18.2,78.01,70.63,0.22
61.17,18.3,78,70.64,0.22
61.08,18.2,77.97,70.65,0.22
60.8,18.2,77.94,70.67,0.22
60.76,18.2,77.9,70.68,0.22
60.67,18.1,77.86,70.7,0.22
60.44,18.3,77.81,70.72,0.22
60.35,18.3,77.77,70.74,0.22
60.03,18.1,77.74,70.76,0.22
59.98,18,77.71,70.78,0.22
59.71,18.1,77.7,70.8,0.22
59.4,18,77.68,70.82,0.22
59.26,18.2,77.67,70.83,0.22
59,18.1,77.67,70.85,0.22
58.98,18.2,77.67,70.86,0.22
58.65,18,77.66,70.87,0.22
58.74,18.1,77.67,70.87,0.22
58.59,18,77.67,70.87,0.22
58.18,18.1,77.67,70.86,0.22
58.12,18.1,77.67,70.85,0.22
58.03,18.3,77.67,70.84,0.22
57.72,18.2,77.67,70.82,0.22
57.74,18.2,77.67,70.79,0.22
57.66,18.1,77.67,70.77,0.22
57.33,18.2,77.66,70.74,0.22
57.15,18.3,77.64,70.7,0.22
57.04,18.3,77.62,70.67,0.22
56.91,18.3,77.58,70.63,0.22
